-,ハ長調,シ,単純、素朴、しかも画然とした感じ
-,イ短調,ソ,単純な素朴な柔らかい悲しみ、最も女性的、敬神的な諦めに似た感情を出す
#1,ト長調,#ファ,若人の調、誠意、瞑想、優美、静かな田園的な感情。 春の調とも言う。
#1,ホ短調,レ,悲観、悲痛、不安、速い曲では激烈なものとなる。
#2,ニ長調,#ド,高尚で華美、雄大で宗教的、特に歓喜に適する。 活発なファンファーレにも用いられる。
#2,ロ短調,ラ,非常に暗く憂愁であるが静かな期待と辛抱強い希望をほのめかす。
#3,イ長調,#ファ,輝かしく確信と希望に満ちる。 単純、純粋、快活、誠実な感情に適する。
#3,嬰ヘ短調,ミ,暗く神秘的、妖怪的、同じに情熱的
#4,ホ長調,#レ,輝かしく、温和で喜ばしい。 高貴の調
#4,嬰ハ短調,シ,最も陰暗な調の1つ。 残忍、皮肉、悲愴、不気味
#5,ロ長調,#ラ,積極的になると大胆な誇りを表し消極的になると清潔な純粋さを表す。 情力敵なこともある。
#5,嬰ト短調,#ファ,非常に陰暗で音響効果に乏しい。
#6,嬰ヘ長調,#ミ,色彩的、豊かさと柔らか味を持つ。 特にロマン的な趣。
#6,嬰ニ短調,#ド,最も陰暗な陰気な調の1つ。 シューマンによると神秘的な恐怖に満ちた調
#7,嬰ハ長調,#シ,ハ長調より典雅で明朗で輝かしい。
#7,嬰イ短調,#ソ,変ロ短調と共に葬送行進曲向き。 陰暗で憂鬱で悲劇的
f1,ヘ長調,ミ,平和、単純、素朴、牧歌的、田園的、低い音を多く使うと痛々しい感情を出し、穏やかな曲では荘重だかあまり宗教敵ではない感じを出す。
f1,ニ短調,ド,不安、悲観、荘厳、崇高 シューマンによると巨大な力を持つ調
f2,変ロ長調,ラ,ゆったりとした感じを出す。 柔和な輝かしさ、静かさで瞑想的なところもある
f2,ト短調,ファ,悲しみ、夢のような憂愁の加わった静かなやさしさ、真剣な努力を表す。 時にはロマン的な高揚を感じさせる。 感傷味、特に効果的に伝える暗い調。
f3,変ホ長調,レ,柔和な中にも悠然さを持ち、響きが充実し、華麗で荘重最大の変化の表出に適すると言われる。 特に真剣な感情、壮大あるいは英雄的な気分を表すのによく使われる。 青空の調とも言う。
f3,ハ短調,シ,柔和の中に真剣な情熱を持つ。 悲劇的な力、超自然的な感情、激烈な感情
f4,変イ長調,ソ,夢想的で繊細、杼情的で荘厳、生き生きとして新鮮。
f4,ヘ短調,♭ミ,悲惨な調。 憂うつ、暗い情熱
f5,変ニ長調,ド,魅惑的、深刻、荘厳、長調の中で最も暗く痛々しい調の1つ。 病的なロマン性
f5,変ロ短調,♭ラ,変イ短調と共に葬送行進曲向き。 陰暗で憂うつで悲劇的
f6,変ト長調,ファ,優和で華美。 嬰へ長調より深い感情を示すこともある。
f6,変ホ短調,♭レ,最も陰暗な陰気な調の1つ。 シューマンによると、神秘的な恐怖に満ちた調
f7,変ハ長調,♭シ,積極的になると大胆な誇りを表し、消極的になると清潔な純粋さを表す。 情力的なこともある。
f7,変イ短調,♭ソ,悲愴で心を裂くような効果を起こす。
